,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14
dow_cos,0.015314386,-0.04356302,0.029974898,0.060527236,-0.042023591,0.144819538,-0.215000731,-0.07053206,0.192554691,-0.187208838,-0.256874267,0.212626666,0.22267046,0.39789644
pivot_hour_h00,-0.090699824,0.127620541,-0.134361728,0.052602781,0.029870314,-0.133185923,-0.048617575,-0.072073482,0.224996233,0.101052265,-0.121284964,-0.032033667,0.091427644,0.004648394
pivot_hour_h01,-0.091101557,0.131962198,-0.136885549,0.052257083,0.032555342,-0.129875076,-0.045747363,-0.07097337,0.217841903,0.094916671,-0.121707793,-0.041149619,0.090058367,-0.001768509
pivot_hour_h02,-0.094477528,0.130922214,-0.141635065,0.048604828,0.036012529,-0.126283771,-0.037711248,-0.063505472,0.201896983,0.104997344,-0.125127336,-0.05564867,0.084631887,0.004173754
pivot_hour_h03,-0.101600982,0.128428933,-0.150837797,0.031394368,0.024414816,-0.122578781,-0.028171427,-0.061009029,0.167247524,0.106415022,-0.103603622,-0.051924502,0.076735706,-0.000393232
pivot_hour_h04,-0.100775341,0.122487135,-0.160517177,-0.019462141,0.010979007,-0.144131553,0.012326295,-0.0295816,0.12415564,0.112916928,-0.04618694,-0.058619072,0.015662118,0.02189323
pivot_hour_h05,-0.086851653,0.141872562,-0.138906244,-0.046865998,-0.01654923,-0.115821319,0.063607883,0.00016652,0.073021246,0.132552078,0.048164457,-0.058532542,-0.042509551,0.055885963
pivot_hour_h06,-0.064162805,0.17270862,-0.105075417,-0.028054802,-0.002649081,-0.084890432,0.088548284,0.005142492,0.035535338,0.146327059,0.097782343,-0.008617238,-0.096971858,0.125869901
pivot_hour_h07,-0.035099568,0.199396411,-0.05745215,0.002710328,0.018576873,-0.049149776,0.094709863,0.002715869,0.018649229,0.067075137,0.087780123,-0.003135393,-0.106863223,0.152052083
pivot_hour_h08,-0.029795044,0.209585688,-0.025645049,0.029859339,0.017298128,-0.045733094,0.082500251,-0.002623853,-0.014626493,-0.010635274,0.069367249,-0.002491153,-0.077733323,0.116959216
pivot_hour_h09,-0.026007029,0.210068977,-0.002367744,0.045372424,0.019679556,-0.065266465,0.062423138,0.018005829,-0.058346294,-0.058541562,0.076589043,0.008573309,-0.065733085,0.098580929
pivot_hour_h10,-0.019004185,0.209566539,0.019124823,0.044276634,0.005512431,-0.081681782,0.04660252,0.033978683,-0.096201277,-0.080527384,0.077033391,0.021080831,-0.052726912,0.072581999
pivot_hour_h11,-0.012221216,0.207304247,0.029623396,0.043994137,0.007888521,-0.096718419,0.045508636,0.04807286,-0.127854555,-0.083890774,0.078055096,0.038880336,-0.030995972,0.039750101
pivot_hour_h12,-0.010783638,0.205543697,0.036979617,0.036678139,0.004014942,-0.109508869,0.055287303,0.05371514,-0.138209027,-0.084835306,0.075389429,0.04593159,-0.01689882,0.02162026
pivot_hour_h13,-0.022225691,0.206557287,0.04683684,0.028168283,-0.006116402,-0.091349264,0.051128439,0.051712564,-0.120792362,-0.09478534,0.050923439,0.034611955,-0.019666884,0.022555749
pivot_hour_h14,-0.038721974,0.202466735,0.048644825,0.008078411,-0.037983346,-0.02878976,0.058008493,0.026547291,-0.113107882,-0.099994997,0.011605313,-0.043979484,-0.038698796,0.025995181
pivot_hour_h15,-0.061485358,0.189525496,0.036970095,-0.034579966,-0.084645475,0.046331479,0.072766387,0.013730535,-0.109828378,-0.050388649,-0.040059304,-0.115105367,-0.046392898,-0.016301563
pivot_hour_h16,-0.08126321,0.166181951,0.02848394,-0.086446295,-0.129220214,0.121249405,0.083488399,0.01535306,-0.082186512,-0.034519599,-0.062383924,-0.12667796,-0.02919348,-0.016741045
pivot_hour_h17,-0.111020367,0.119911222,0.005729143,-0.115357105,-0.161525542,0.15251186,0.084612765,0.019651402,-0.054223546,-0.0266577,-0.065909767,-0.121053461,0.023962364,-0.0080661
pivot_hour_h18,-0.144430059,0.098404961,-0.043344208,-0.100300144,-0.131098248,0.139660891,0.017015865,0.030595881,-0.038856071,-0.029257066,-0.041232608,0.009365645,0.064727871,-0.039382424
pivot_hour_h19,-0.147462273,0.092784964,-0.064335762,-0.085604591,-0.108410621,0.146801667,-0.023260007,0.018607897,-0.067283886,-0.027672976,-0.034143094,0.090986744,0.066823538,-0.069828288
pivot_hour_h20,-0.144353872,0.098739448,-0.065333909,-0.073732429,-0.104822866,0.155909233,-0.052980511,0.00777767,-0.067408035,-0.0023488,-0.045979209,0.127642566,0.068343886,-0.087035916
pivot_hour_h21,-0.138452759,0.106823435,-0.050016289,-0.052631318,-0.080531645,0.182990624,-0.080110916,0.003288323,-0.064659301,-0.015627143,-0.04630509,0.134094634,0.081152303,-0.090760617
pivot_hour_h22,-0.13865121,0.089210151,-0.063005577,-0.042486628,-0.047297806,0.173155684,-0.100116652,-0.010168907,-0.098872978,-0.038068205,-0.044977831,0.12085716,0.047191522,-0.092929151
pivot_hour_h23,-0.137524371,0.089235086,-0.06244579,-0.012099577,-0.021820775,0.160806077,-0.118214854,-0.010312285,-0.082036838,-0.031283714,-0.09814844,0.105104816,0.083975872,-0.093174285
