,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12
wind_on_night,-0.04768327728132464,-0.11639507067914326,0.11180119252689807,0.2754963219325367,-0.03782715123221212,-0.1693269533644306,-0.0706197609018385,-0.09168661813581463,-0.07699408131372527,0.0506459801981543,0.10777723531930372,-0.01668177157588696
evening_ramp_load,-0.07535244831831574,-0.08811256708768848,-0.1651862657204752,-0.04830046925020649,0.1717470782467413,0.0029560628014863428,0.026480337487783806,-0.2770341480993333,0.11606178301827616,0.016909341239355596,-0.015951587869289685,-0.03476298637484258
morning_ramp_load,-0.018705170591918268,-0.0629111027453742,0.29723971220860795,-0.07147254232556731,0.20249624838104416,0.10056932458030057,0.03528449445240178,0.033806070828393854,0.05271245108170443,-0.1660203675555913,-0.03894859945287799,0.02375702685408001
solar_concentration,-0.01849966031572887,-0.24905312378805788,-0.03552479733677937,-0.054478714522011557,0.12311528652599449,-0.00028259560279271105,-0.014687825711780553,-0.05567113252691199,0.031966345542436776,0.04711249001272009,-0.022812581135850874,-0.051395383823625906
is_weekend,0.008980122341202539,-0.036300633293483105,-0.30000358860196524,0.026244883326112082,-0.16263446835318812,-0.0523111638098387,-0.05158007541493265,-0.2502295267970426,-0.043418465520024284,0.20593757238482643,-0.04763004568502892,-0.042334327113474464
is_holiday,-0.042938427552741416,0.012290315858899448,-0.08182176496396174,-0.03157202755180928,-0.057365494320464464,-0.09873457527721037,0.05093689483067615,0.29302457679086275,0.009572459954793378,0.039444330719015305,0.3749159107848761,0.28039500105021187
month_sin,-0.13187380330536858,-0.05553361387285497,0.04458448882744,-0.20762406814549522,-0.06930764416562768,0.12164828665210489,0.021317898574282963,-0.1465754096326795,-0.05815072010341314,0.07108246376775676,0.23955759375602448,0.06444399942605289
month_cos,6.442490283752812e-05,-0.23946895455526515,-0.05127346468471055,-0.029387869429122807,0.14326660586273965,-0.010722163447923799,-0.010940128960001284,-0.04361838094875952,0.05088676187997901,0.027613117062158053,-0.09791271138393473,-0.09127360197166356
dow_sin,-0.001299769243258166,0.021680188067529787,0.2504471689721498,-0.00579149454793995,0.1834645784640529,0.04012612747418756,0.06003464395390454,0.1761723796925849,0.05494104557769053,-0.26133464179632776,0.015729966742195525,0.10704738142334415
dow_cos,-0.031253393349411726,0.015131237335473353,-0.08911849410594358,0.016574307050504236,0.14523165483149092,-0.17351624150961084,0.022234195049214273,-0.2893392035596467,0.3573764943991737,-0.08885547701902864,-0.09712939490613584,0.37264595157370334
pivot_hour_h00,0.17731156188409694,0.0034324348331055397,-0.015025143609633959,0.09158412486583152,-0.03546520398614464,0.053676607715335695,-0.026225206244338405,-0.1135462964408487,0.06977772376594167,0.052620220774475875,0.08512792182783925,0.06604227652575825
pivot_hour_h01,0.17698971616285245,0.01671138637501844,-0.008941551935960157,0.08778800026947488,-0.043989873326885684,0.050293901103056864,-0.021370301128973545,-0.11247037459649945,0.06573195720805207,0.07005401862276243,0.0973564821772304,0.07759533033443664
pivot_hour_h02,0.1775376794513632,0.021178077373674754,-0.008597796846722268,0.07923811301997781,-0.05297356376342282,0.050423313771942604,-0.018176284636663435,-0.11021876976408476,0.05455776061780002,0.06922670069257313,0.09532254554819089,0.08482550107904754
pivot_hour_h03,0.17832875526553163,0.030734506134042872,-0.0038465733601563013,0.07591442054011258,-0.055847436630171506,0.048676053278395165,-0.021261742109896526,-0.09680914627100887,0.04938966726400342,0.051320402697413774,0.07681854880605449,0.0897300047655064
pivot_hour_h04,0.17959504666581358,0.03147909165150186,-0.002280056728873791,0.08528119657062856,-0.045097910062444284,0.05973918733311411,-0.018430188092321158,-0.05475992448791751,0.020463679101640972,0.05022879136527275,0.043974750025765945,0.06983320456414145
