,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14,PC_15,PC_16
price_roll7_mean,0.026454009487253984,0.14205840502222303,-0.06244394437928426,0.04575684497580702,0.02031434322898676,-0.04740980317612484,-0.08847597100903537,0.03595463129295229,0.13227102791241174,0.16201681487350744,0.1537622650961383,-0.20020411329961818,-0.2114191538598131,-0.027702832042568876,0.07481067010576788,0.022333789115895585
ttf_lag1,0.1057746610985543,0.09050851209905503,0.058933972422562625,0.020932206333660556,0.12159209403160098,0.01542834382788516,-0.11485217750934265,-0.06230898161346288,0.22602088429888956,-0.06520167279848549,0.12175059786763036,0.06382780682527964,0.03386599418652578,-0.08345813572407193,0.08966563306144977,-0.26920952851846747
ttf_return_1d,-0.012308185709788354,-0.019113187477351936,-0.005934573216309552,-0.06468900689611673,0.21673302985634701,0.30323511880851156,0.06477681243931517,0.031680916843854226,0.08292122410511402,0.09677427529315685,-0.07800194173739619,0.005516662382653869,0.017141571640626768,0.014123171430585918,-0.09379028898321759,-0.004099000271201843
ttf_return_3d,-0.03183128994316373,-0.02290978245673561,-0.014764617237376175,-0.08923531533897566,0.1782463055204031,0.2798098358224317,0.0035992848085493745,-0.0027168657914808728,0.012726097424295063,0.10318451232240372,0.11303702382381962,0.17835024661785892,0.09550026920345264,-0.08062195395777758,0.24701381875145842,-0.014601251025890443
ttf_roll7_std,0.018245553510998408,0.035184609980275956,-0.014467384055372196,-0.04584589551499375,0.08250230774693204,-0.015394331173597758,-0.02218793300739745,-0.04812261661884954,0.17228907561276452,0.18463590318102674,0.5396489348764324,-0.033569955976356924,0.17724433618776558,-0.07796608056712832,-0.027269477531125838,0.11475929006185562
co2_lag1,-0.041028643586245445,0.00569969638885735,-0.17751329575226535,-0.0032919549596656865,0.04124580357497212,-0.004987426828566007,-0.09818823337168242,0.05062915296774161,0.20364929030008128,0.05271501267766576,0.16042263946006902,0.33252249538634315,-0.11128007702103054,-0.09171923238967289,0.028048952940126493,-0.16589379577448865
co2_return_1d,-0.01222270614138782,0.00824539037477552,0.004641911495505946,-0.05585056998682379,0.18414039165424181,0.197501910430736,0.013501826629930267,0.12684509532789232,0.0024726439798525447,-0.11786439644119137,0.07851543329542215,-0.0070813057117212475,-0.3819377476329865,0.2721133713177582,-0.003510093053031599,0.0009511390355639543
brent_return_3d,-0.015498764671188933,-0.026451894000242598,-0.006969033518298163,-0.008765889412394917,-0.05724018530624778,0.06306864547434268,0.038393421637562736,0.01138873858751934,0.01295558420927986,-0.16784813331580378,0.24011258427087542,0.14903158346853818,-0.260299523572262,0.482055396151846,0.2644530353519109,0.1696983496884614
spark_spread_proxy,-0.09958972284541366,0.14646201861343053,-0.07992053966950227,-0.03171628788458292,-0.07443350463117206,0.0035694858082192787,0.06634322632729245,-0.0012306026511791,-0.17705055660649308,0.026012785243299558,-0.09824249365902021,-0.0643861344852664,0.000154007713358828,0.07523413159171455,-0.06643823618533817,0.1839063818853396
co2_gas_ratio,-0.11155904042886351,-0.09717503100718977,-0.1158496084002045,-0.032541611633505774,-0.0969533438943428,-0.023112026212243363,0.06324055779335634,0.037099409039303054,-0.1376360590435031,0.02409496088434049,0.0017578812728404891,0.016661074102017337,-0.026523952791830785,0.06504488670340608,-0.12309693899093799,0.19309145739520528
wind_mean_t,0.16803183191964244,-0.013961240580449213,-0.07498984362242961,-0.02239902626089909,0.019264013313590563,-0.015584961264649935,0.003172382968202808,-0.04787110446589065,-0.05526618290784764,0.0038810841769257413,0.044642172863301105,-0.04772050616710227,-0.09833974280116067,-0.03218564687590686,-0.055527749924454806,0.021221565048553798
temp_mean_t,-0.10884836981850761,-0.08696495788931705,-0.1003924907582261,-0.12009469904285155,0.028220784999524504,-0.01703790675556942,0.09125946934681985,-0.2362463434185616,-0.11688273124111562,0.006636030663234346,0.1185617151502058,-0.043041667869382016,0.011171052830679767,-0.002003937378479176,0.03301965691572145,-0.007180399280826744
solar_mean_t,-0.12119813027952425,-0.0719297332252791,-0.17534283318325547,-0.0015858785845104788,-0.07693077472471199,0.06332419768126922,-0.03055504909250303,0.08634097242315895,-0.03800371929599594,-0.06859158722809813,0.0816960341968396,-0.07924578332485321,0.05180443702965018,-0.031062689690556797,0.03843916038378792,-0.013072767346686238
precip_sum_t,0.052650274413059486,0.0003695375366684399,0.04556892006341869,-0.15340461595867624,0.028672782290384478,-0.01690785060907145,0.03168356610878327,-0.23136392471964443,0.03872650336710036,0.16834339626546935,-0.06483078991989802,0.35946036377725227,-0.07377189706103215,0.07860817857563865,-0.06164651406125182,-0.18054762379775274
